"eir","Access","Resistance_Level","Dosage","Fitness","IC50_S","half_life","MKR","Diagnostic","Dosage_2","seed","seasonality","scenario_name","Indicator","Treated_1","Treated_2","Treated_5","Treated_10","Treated_15","Treated_20","Treated_30","Treated_40","Treated_90","Treated_Total","Treated_infect_1","Treated_infect2","Treated_infect5","Treated_infect10","Treated_infect15","Treated_infect20","Treated_infect30","Treated_infect40","Treated_infect90","Treated_infectTotal"
75,0.5,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_33_1.txt",NA,0.118839436356794,0.180589003939444,0.171198825359692,0.136806781267671,0.099230335469515,0.0731392406254444,0.0494233177043265,0.0286825529919571,0.0149535511658481,0.0820819672131148,0.264286951535285,0.331971308322648,0.293949810759723,0.205428741808582,0.133642845997233,0.0927536511513532,0.0604825081651417,0.0357849946202403,0.0213440705556809,0.115284363472289
100,0.5,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_34_1.txt",NA,0.127281276661968,0.189366921170267,0.177604410513998,0.13938682049912,0.0998585205830185,0.0731625604021939,0.0467437919930899,0.0269993051207316,0.0145240250029596,0.0831633879781421,0.26524630691092,0.332900491354739,0.293127709270295,0.203994805793498,0.132120123605805,0.0920459519068755,0.0570071649996824,0.034156226927559,0.0214689758279295,0.11601641577494
150,0.5,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_35_1.txt",NA,0.137093614875933,0.198895353450768,0.182720727660446,0.138385576718862,0.0967762386295267,0.0670109079018646,0.0418037457308278,0.0250974862696528,0.0138849462033588,0.0821672131147541,0.265827136647651,0.329933709802804,0.284692676457683,0.193897933121722,0.12486038091325,0.0830475855141181,0.0513592346133432,0.0327991706844375,0.0205523223721843,0.112984469741815
250,0.5,1,1,1,0.01,21,3.45,20,30,1,"sesonality1","scenario_36_1.txt",NA,0.146598144670528,0.211681878621289,0.189219588604511,0.138482434310121,0.0906490365177675,0.0608022736457236,0.0395501337385632,0.0260229515945894,0.0152789100317226,0.0822672131147541,0.258106747367253,0.327833035305786,0.278552127972579,0.186824239615622,0.115243765372471,0.0754953589945903,0.0497709678473963,0.0347851225537944,0.021819784554665,0.111356859661922
5,0.1,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_1_2.txt",NA,0.0153615798589754,0.0294290150902159,0.0319330899966428,0.0271290960516009,0.0223039539232554,0.0187896038651715,0.013493372792265,0.00887232771642503,0.00420578643261714,0.017396174863388,0.097801877776598,0.0935433096268961,0.0856480656796331,0.0559647728666424,0.0378535246542892,0.0283326481442556,0.0188975911490529,0.0122780181083656,0.00598140501573229,0.0297835172737029
10,0.1,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_2_2.txt",NA,0.0248383439251941,0.0451425906825902,0.0417086326879226,0.0319502674405259,0.0227519295051681,0.0170097541336294,0.0112546939733774,0.00654797532334005,0.00283078740538313,0.0190289617486339,0.0988309035696056,0.0974299271045953,0.0773874898932962,0.0490150756633781,0.0302702835793137,0.0210320873924357,0.0133487664129345,0.00776689614676784,0.00351532063797633,0.02639121318836
15,0.1,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_3_2.txt",NA,0.0317551290174646,0.0544233359050391,0.0478895373550263,0.0323958983650426,0.0218559557279297,0.0158877088795986,0.0107450289232922,0.00608726062120975,0.002396153733548,0.0199224043715847,0.10013415165936,0.0994191632770595,0.0765492891573615,0.0438516686825224,0.0265974061604758,0.0184751176187466,0.0121387996093386,0.00693016778097165,0.00286721780835849,0.0256005222865976
20,0.1,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_4_2.txt",NA,0.0372528977682708,0.0603340275912607,0.0506980653808942,0.0322670283465854,0.0218508380288367,0.0152374942278105,0.00982290872257073,0.00499546494142683,0.00215800396055374,0.0202803278688525,0.102120583014309,0.10012837807446,0.0743921777956522,0.0411390464481869,0.0256644280373497,0.0172475864824427,0.0108954830602977,0.00556205638154586,0.00257530807834573,0.0251591208030416
25,0.1,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_5_2.txt",NA,0.041372801083259,0.0680583784308677,0.0540040549797638,0.0334175022445391,0.0215449871980399,0.0143549815017438,0.00879510041040948,0.00453556598016123,0.00195105932517011,0.0208409836065574,0.102490320367152,0.107817920140472,0.0757082444593145,0.0412319645613445,0.0247863519570404,0.0159913294854263,0.0096632949734231,0.0050127924173655,0.00233034013876608,0.0253694363672518
30,0.1,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_6_2.txt",NA,0.0442132110972656,0.071789544466726,0.0562430943965621,0.0339953460840596,0.020785348956805,0.0137862898343757,0.00818458264021293,0.00431300362182822,0.00166783070294118,0.0210863387978142,0.103190952196799,0.108884717821831,0.0763385603990034,0.0409702169491644,0.0235056542676197,0.0151489289204605,0.00886746802517343,0.00475038947352393,0.00202576754176912,0.0253296953513219
40,0.1,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_7_2.txt",NA,0.0478452113443936,0.0750437333691191,0.0560761463098025,0.03276969354504,0.0195612441720524,0.0129877383425697,0.00768729825544129,0.00369644124223766,0.00141188077451973,0.0207743169398907,0.101832230389084,0.108921737040699,0.0727110102142936,0.0383461507236214,0.0216874699654936,0.0141430531084911,0.00831508326941995,0.00408121090158221,0.0017515763819512,0.0246556073767023
50,0.1,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_8_2.txt",NA,0.0543969193279547,0.0800737912105245,0.0584156664652117,0.0323262355959277,0.0186146416423759,0.0122295831366707,0.00699139479889999,0.00362220008327097,0.00152227650348423,0.0211612021857924,0.109855875300308,0.112278648949269,0.073718231809278,0.0370887083388363,0.0203983880909753,0.0131666543741621,0.0075323474963901,0.00404265669901106,0.00194904967812923,0.0249738686590608
75,0.1,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_9_2.txt",NA,0.0584443063984193,0.0837088385424739,0.0583795280594237,0.0315719560685724,0.0179590049733687,0.011419006713757,0.00610563334248845,0.00295775632856283,0.00158431485167398,0.0210174863387978,0.107383489076841,0.111448025958924,0.0708680163462441,0.0354168028393468,0.019419728800462,0.0121981695580913,0.00659142275864539,0.00336151978693477,0.00211962380095824,0.0246800644439133
100,0.1,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_10_2.txt",NA,0.0628410320692665,0.0866080442822559,0.059597386065175,0.0305680053048944,0.0165712980067889,0.00983546659119566,0.00579823216791596,0.00312855030218866,0.0015578029314565,0.0209546448087432,0.109361560254158,0.112032186913194,0.0709919401166516,0.0337773951980746,0.0177386415929121,0.0104620038572301,0.00629242874091338,0.00366221903995238,0.00214258996017267,0.0245918258497852
