"Survey","nHost","nInfect","nExpectd","nPatent","nTransmit","nTreatments1","nUncomp","innoculationsPerAgeGroup","innoculationsPerAgeGroup_2","Vector_Nv","Vector_Nv_2","inputEIR","simulatedEIR","nMDAs","nMassScreenings","nTreatDiagnostics","nInfectByGenotype","nInfectByGenotype_2","nPatentByGenotype","nPatentByGenotype_2","nHostDrugConcNonZero","nHostDrugConcNonZero_2","nHostDrugConcNonZero_3","sumLogDrugConcNonZero","sumLogDrugConcNonZero_2","sumLogDrugConcNonZero_3","Inoculation_S","Inoculation_R","Infection_S","Infection_R","Patent_S","Patent_R"
286,1e+05,34355,94903.8,3152,0.00223473,328,1042,1816.58,2324.55,208361,1107980,0.205264,0.00914786,0,0,331,17483,21764,902,1235,0,108,0,0,-1824.37,0,0.438667706640458,0.561332293359542,0.445460799551558,0.554539200448442,0.422087037903603,0.577912962096397
287,1e+05,32462,94695.3,4351,0.00347221,470,1560,3286.81,4243.22,275634,1508990,0.367881,0.016634,0,0,472,16253,20357,1385,1739,0,158,0,0,-2640.87,0,0.436493612907253,0.563506387092747,0.443949740508058,0.556050259491942,0.443341869398207,0.556658130601793
288,1e+05,35094,94603.6,7155,0.00586627,831,2649,6669.77,8669.12,390302,2103590,0.491286,0.0338841,0,0,839,17732,22143,2383,3006,0,301,0,0,-5526.45,0,0.434827422323258,0.565172577676742,0.444689655172414,0.555310344827586,0.442197068101689,0.557802931898311
289,1e+05,44181,94772.7,12198,0.0106411,1492,4904,16271.4,20198.7,583534,3153410,0.69732,0.0805646,0,0,1503,23414,28493,4264,5465,0,547,0,0,-9352.47,0,0.446157263073038,0.553842736926962,0.451075962779587,0.548924037220413,0.438277315243088,0.561722684756912
290,1e+05,59022,95429,21979,0.0202326,3018,9394,41965,53907.1,570904,3346580,1.02434,0.211785,0,0,3043,33629,40295,8185,10174,0,1112,0,0,-19606.8,0,0.437718585490461,0.562281414509539,0.454913154050106,0.545086845949895,0.44583038291846,0.55416961708154
291,1e+05,71174,96322.9,34111,0.0362729,5288,15647,80332.9,102696,236511,1660500,0.991585,0.404332,0,0,5343,44237,52307,13402,16854,0,1919,0,0,-33936.3,0,0.43890828169759,0.56109171830241,0.45820558501823,0.54179441498177,0.44295346377578,0.55704653622422
292,1e+05,75360,96808.6,41203,0.0494005,7353,19601,75285.7,94776.8,46681.8,406819,0.4279,0.375688,0,0,7460,49779,57767,16932,20970,0,2552,0,0,-46553,0,0.442694303564866,0.557305696435134,0.462862403064735,0.537137596935265,0.446731043216717,0.553268956783283
293,1e+05,72414,96709.2,40101,0.050055,7038,18528,30428.2,39499.5,9043.96,80332.1,0.0876874,0.154481,0,0,7137,48411,56017,15877,19787,0,2295,0,0,-41250.9,0,0.435138006827051,0.564861993172949,0.463582564063278,0.536417435936722,0.445182817406909,0.554817182593091
294,1e+05,65350,96326.2,30456,0.0365443,4866,12770,7371.45,9532.6,4393.75,28755,0.016734,0.0373427,0,0,4927,42411,49540,10531,13171,0,1523,0,0,-28189.4,0,0.436075969959862,0.563924030040138,0.461234788093659,0.538765211906341,0.444308497173234,0.555691502826766
295,1e+05,57526,95918,16597,0.0169676,2248,5878,1827.21,2379.03,7775.12,39851.1,0.00802331,0.00929177,0,0,2264,35087,41714,4765,6001,0,600,0,0,-11384.4,0,0.434404598881662,0.565595401118339,0.456856030520436,0.543143969479564,0.442597064833736,0.557402935166264
296,1e+05,49388,95551.9,7207,0.00581219,728,2059,968.129,1264.41,29136.2,140453,0.0145702,0.00493176,0,0,736,28002,33969,1773,2241,0,181,0,0,-3645.02,0,0.433644832184343,0.566355167815657,0.451856513530522,0.548143486469478,0.441704035874439,0.55829596412556
297,1e+05,41331,95229,3668,0.00249179,306,953,1100.51,1359.28,98826,489634,0.0543603,0.00543373,0,0,311,22083,27170,927,1164,0,76,0,0,-1564.76,0,0.447399981299217,0.552600018700783,0.44835847562585,0.55164152437415,0.443328550932568,0.556671449067432
298,1e+05,35134,94948.6,3128,0.00223639,325,1002,1624.96,2067.66,195127,1027850,0.177028,0.00815715,0,0,329,18034,22403,889,1122,0,99,0,0,-1741.32,0,0.440056111920533,0.559943888079467,0.445977693696367,0.554022306303633,0.442068622575833,0.557931377424167
299,1e+05,32486,94728.4,4047,0.0030617,376,1355,2919.44,3896.26,263865,1443200,0.344277,0.0150561,0,0,377,16271,20492,1247,1667,0,134,0,0,-1974.92,0,0.428340449256863,0.571659550743137,0.442591736256562,0.557408263743438,0.427934111187371,0.572065888812629
300,1e+05,34319,94609.2,6599,0.00553727,724,2460,5571.18,7831.75,364161,1969550,0.469575,0.0296075,0,0,729,17089,21815,2082,2816,0,275,0,0,-4824.13,0,0.415668812714832,0.584331187285168,0.439260744396463,0.560739255603537,0.425071457737852,0.574928542262148
301,1e+05,42367,94731.7,11274,0.00965567,1429,4445,13737.3,18571.6,553108,2974780,0.651148,0.0713721,0,0,1437,21685,27811,3697,5083,0,510,0,0,-8898.54,0,0.425186248990216,0.574813751009784,0.438116211411023,0.561883788588977,0.421070615034169,0.578929384965831
302,1e+05,56440,95302.5,20291,0.0184993,2711,8447,35157.5,47717.8,604179,3469980,0.974842,0.183075,0,0,2747,30959,39116,7209,9546,0,979,0,0,-17201.7,0,0.424221692108505,0.575778307891495,0.441798073492686,0.558201926507314,0.430259623992838,0.569740376007162
303,1e+05,69831,96205.4,32123,0.0335076,5016,14625,73901.2,99032.1,291781,1975990,1.04785,0.382028,0,0,5070,41991,51570,12188,16216,0,1810,0,0,-32059.3,0,0.427339326780903,0.572660673219097,0.448808798537852,0.551191201462148,0.429094493733277,0.570905506266723
304,1e+05,75313,96784.7,40598,0.0484243,7013,19532,78585.6,104879,62828.9,531014,0.523046,0.405298,0,0,7098,48872,58264,16452,20940,0,2424,0,0,-43859.3,0,0.428342034376114,0.571657965623886,0.456167861409797,0.543832138590203,0.439987163029525,0.560012836970475
305,1e+05,73234,96767.1,41049,0.051395,7275,18852,36310.5,48997.1,11415.3,103706,0.117733,0.188455,0,0,7394,48505,57590,16083,20737,0,2426,0,0,-44930.1,0,0.425642029549536,0.574357970450464,0.457184598708704,0.542815401291296,0.436800651819663,0.563199348180337
306,1e+05,66706,96406.4,32602,0.0393337,5410,13980,9365.14,12519.7,4519.2,31379.3,0.0212183,0.048347,0,0,5472,43017,51398,11337,14955,0,1692,0,0,-32191,0,0.42792819138728,0.57207180861272,0.455616162686014,0.544383837313986,0.431195801004108,0.568804198995892
307,1e+05,59023,95993.3,18668,0.0200225,2674,6914,2174.46,2949.22,6557.41,34462.5,0.00824396,0.0113186,0,0,2695,35770,43619,5438,7208,0,726,0,0,-13719.7,0,0.424394185429223,0.575605814570777,0.450566199347517,0.549433800652483,0.430017396805314,0.569982603194686
308,1e+05,50963,95619.1,8358,0.00691049,824,2429,978.069,1345.3,23056.3,111395,0.0122334,0.0051324,0,0,839,28638,35898,1980,2794,0,227,0,0,-4159,0,0.420970151534259,0.579029848465741,0.44375232428412,0.55624767571588,0.414746543778802,0.585253456221198
309,1e+05,42737,95289.1,4018,0.00276321,336,1071,992.419,1371.16,83391.3,409740,0.0432262,0.00522122,0,0,337,22567,28695,976,1277,0,102,0,0,-1899.27,0,0.41987976708204,0.58012023291796,0.440228629394093,0.559771370605907,0.433200177541056,0.566799822458944
310,1e+05,36151,95001.5,2943,0.00217186,273,861,1410.6,2041.9,180714,942296,0.150309,0.00762664,0,0,275,18239,23472,789,1061,0,85,0,0,-1532.92,0,0.408573497465605,0.591426502534395,0.43727074392846,0.56272925607154,0.426486486486486,0.573513513513514
311,1e+05,32748,94766.7,3770,0.00288209,393,1282,2571.42,3390.15,252958,1380030,0.318846,0.0131693,0,0,395,16145,20926,1067,1533,0,138,0,0,-2461.38,0,0.431332685852888,0.568667314147112,0.435515632165304,0.564484367834696,0.410384615384615,0.589615384615385
312,1e+05,33455,94621,5807,0.00462563,674,2064,4746.64,6817.23,341141,1851780,0.449399,0.0255451,0,0,678,16396,21393,1821,2444,0,260,0,0,-4494.16,0,0.410471580880795,0.589528419119205,0.433882875969197,0.566117124030803,0.426963657678781,0.573036342321219
313,1e+05,39925,94662.7,9969,0.00848317,1267,3970,10813.3,14765.2,519579,2786940,0.610127,0.0565043,0,0,1274,20164,25901,3221,4445,0,478,0,0,-8570.01,0,0.422749574838243,0.577250425161757,0.437729295560621,0.562270704439379,0.42016697104096,0.57983302895904
314,1e+05,53208,95133.9,17558,0.0157854,2405,7358,27704.1,40895,624261,3522890,0.919244,0.151538,0,0,2425,28100,36612,6084,8210,0,902,0,0,-15998,0,0.40385515261862,0.59614484738138,0.434231672641859,0.565768327358141,0.425633132782986,0.574366867217014
315,1e+05,67354,96007.3,29670,0.0297518,4487,13403,63888,88865,351438,2300280,1.0829,0.337446,0,0,4520,39083,49474,10631,15133,0,1677,0,0,-29493.3,0,0.418243831545043,0.581756168454957,0.441331571756044,0.558668428243956,0.412630026393417,0.587369973606583
316,1e+05,74486,96679.1,39322,0.045397,6758,18618,75569.2,110832,84092.1,686608,0.624456,0.411785,0,0,6847,46338,57912,14967,20604,0,2390,0,0,-42643.8,0,0.405411553144508,0.594588446855492,0.444489208633094,0.555510791366907,0.420764105591634,0.579235894408366
317,1e+05,73919,96759.1,41377,0.0513103,7329,19430,40729.1,59528.5,14737.7,135394,0.156914,0.22149,0,0,7423,47266,58785,15559,21668,0,2563,0,0,-45569,0,0.406244514131597,0.593755485868403,0.44569122403372,0.55430877596628,0.417949337846187,0.582050662153813
318,1e+05,67688,96434.3,34146,0.0422057,5906,15087,11258.7,16456.3,4831.31,35613.5,0.0275101,0.0612277,0,0,5975,42383,53093,11716,16382,0,1861,0,0,-34606.5,0,0.4062312826989,0.5937687173011,0.443912606309439,0.556087393690561,0.416969179301018,0.583030820698982
319,1e+05,60093,96022.5,21186,0.0227416,3059,8079,2558.08,3777.01,5673.97,30758.8,0.00881798,0.0139948,0,0,3086,35650,45435,6060,8509,0,824,0,0,-15822.3,0,0.403795368337309,0.596204631662691,0.439662082999322,0.560337917000678,0.41595167822088,0.58404832177912
320,1e+05,51883,95642.2,9627,0.00836688,1039,2938,1001.01,1451.96,18243.4,88573.1,0.0105314,0.00541871,0,0,1044,28638,37361,2273,3264,0,263,0,0,-5203.82,0,0.408080816316547,0.591919183683453,0.43391566538887,0.566084334611131,0.410511107097706,0.589488892902294
321,1e+05,43578,95306.6,4375,0.00320346,408,1208,940.043,1336.44,69263.3,337913,0.0343173,0.0050288,0,0,413,22519,29898,1032,1380,0,124,0,0,-2367.94,0,0.412936534118638,0.587063465881362,0.429612530285976,0.570387469714024,0.427860696517413,0.572139303482587
322,1e+05,36632,95013,3026,0.0021346,257,839,1390.32,1818.32,165210,852386,0.12571,0.00708795,0,0,261,18081,24284,750,1145,0,99,0,0,-1810.27,0,0.433305076294006,0.566694923705994,0.426790983122861,0.573209016877139,0.395778364116095,0.604221635883905
323,1e+05,32885,94768.7,3465,0.00263653,373,1177,2282.54,3091.72,242404,1316930,0.291743,0.0118719,0,0,376,15789,21367,997,1396,0,132,0,0,-2444.3,0,0.424717077327855,0.575282922672145,0.424938098826569,0.575061901173431,0.416631842875052,0.583368157124948
324,1e+05,32798,94605,5379,0.00457467,631,2037,4310.07,5960.1,321110,1748980,0.429892,0.0226871,0,0,634,15730,21165,1733,2345,0,257,0,0,-4474.14,0,0.41966880781915,0.58033119218085,0.426345033202331,0.573654966797669,0.424963217263364,0.575036782736636
325,1e+05,38567,94619.9,9147,0.00755839,1088,3551,9593.89,13595.5,485092,2599740,0.574138,0.051226,0,0,1100,18979,25248,2947,4024,0,379,0,0,-6575.91,0,0.413718946466466,0.586281053533534,0.429127003866416,0.570872996133584,0.422751398651556,0.577248601348444
326,1e+05,50776,95008.7,16567,0.0146402,2167,6810,24423.6,34114.4,630876,3508040,0.861135,0.129313,0,0,2188,26643,34699,5733,7730,0,867,0,0,-15235.6,0,0.417226417028255,0.582773582971745,0.434335365654853,0.565664634345147,0.425833766619624,0.574166233380376
327,1e+05,65836,95872.6,28164,0.0271994,4021,12423,59771.6,82500.5,412695,2617000,1.09617,0.314292,0,0,4061,38016,47866,10302,13934,0,1461,0,0,-25568.7,0,0.420121724498338,0.579878275501662,0.44265387392003,0.55734612607997,0.425070143588051,0.574929856411949
328,1e+05,74229,96625.7,38669,0.0438041,6499,18250,80487.7,113534,111470,877110,0.727517,0.428618,0,0,6583,46382,57064,15203,19983,0,2328,0,0,-42436.8,0,0.414838649491268,0.585161350508732,0.448369197455677,0.551630802544323,0.43207525720457,0.56792474279543
