"Setting","Factor","First","Effect","MAX","MIN","EIR","Resistance_level","Treatment_access","Dosage","Seasonality","sum_first"
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_10_Dosage_0","MKR",0,"First",0.00743718487141078,-0.00820906990936828,500,10,0.04,0,"sesonality1",0.996915695599382
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_10_Dosage_0","Diangostic",0,"First",0.00785777190018151,-0.0080094736791789,500,10,0.04,0,"sesonality1",0.996915695599382
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_10_Dosage_0","Cmax/IC50",0.00308662716899641,"First",0.0112794391719584,-0.00450577800184086,500,10,0.04,0,"sesonality1",0.996915695599382
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_10_Dosage_0","Fitness",0.928724042002169,"Total",0.935926999509297,0.921001817181552,500,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_10_Dosage_0","half-life",0.064778223192321,"Total",0.0654219657500173,0.0641435462176219,500,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_10_Dosage_0","MKR",0.00101326691891567,"Total",0.00102988737110013,0.000995613049285308,500,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_10_Dosage_0","Diangostic",0.00242264376586541,"Total",0.00245678354640891,0.00238738300927376,500,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.04_Resistance_10_Dosage_0","Cmax/IC50",0.00508208617613189,"Total",0.00513666190478384,0.00501971307345212,500,10,0.04,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_2.5_Dosage_0","Fitness",0.336599223009319,"First",0.211904237080004,0.188540637126907,5,2.5,0.5,0,"sesonality1",0.596132505814372
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_2.5_Dosage_0","half-life",0.147808578692139,"First",0.107717879014624,0.0675456429512109,5,2.5,0.5,0,"sesonality1",0.596132505814372
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_2.5_Dosage_0","MKR",0.0148660134030593,"First",0.0237429345715164,-0.00634826738124865,5,2.5,0.5,0,"sesonality1",0.596132505814372
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_2.5_Dosage_0","Diangostic",0,"First",0.000140686732174111,-0.0277411430034984,5,2.5,0.5,0,"sesonality1",0.596132505814372
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_2.5_Dosage_0","Cmax/IC50",0.500726184895483,"First",0.312017152961934,0.284564789840573,5,2.5,0.5,0,"sesonality1",0.596132505814372
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_2.5_Dosage_0","Fitness",0.217298159922932,"Total",0.221069042835986,0.213295372208175,5,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_2.5_Dosage_0","half-life",0.415665715749804,"Total",0.421987033694758,0.409583168427611,5,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_2.5_Dosage_0","MKR",0.0886071086293554,"Total",0.0906086191405321,0.0864113149131052,5,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_2.5_Dosage_0","Diangostic",0.0127997987762979,"Total",0.0131315513320424,0.0124557575275483,5,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_2.5_Dosage_0","Cmax/IC50",0.648278635733613,"Total",0.660011743182807,0.636679383539355,5,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_2.5_Dosage_0","Fitness",0.386653845171672,"First",0.303000528154676,0.287156655948017,10,2.5,0.5,0,"sesonality1",0.76204849553521
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_2.5_Dosage_0","half-life",0.31409652127512,"First",0.25169410290836,0.227482026245019,10,2.5,0.5,0,"sesonality1",0.76204849553521
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_2.5_Dosage_0","MKR",0.0248588298379505,"First",0.0287996304743195,0.00943054441007211,10,2.5,0.5,0,"sesonality1",0.76204849553521
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_2.5_Dosage_0","Diangostic",0.00531285471243738,"First",0.0139133990926491,-0.00534008250972295,10,2.5,0.5,0,"sesonality1",0.76204849553521
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_2.5_Dosage_0","Cmax/IC50",0.26907794900282,"First",0.214948047287084,0.19563127113858,10,2.5,0.5,0,"sesonality1",0.76204849553521
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_2.5_Dosage_0","Fitness",0.301734044972872,"Total",0.30548489004439,0.297854766219046,10,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_2.5_Dosage_0","half-life",0.468808383887198,"Total",0.473979457842815,0.46331248171231,10,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_2.5_Dosage_0","MKR",0.0466927223770073,"Total",0.0476363577663908,0.045697531640006,10,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_2.5_Dosage_0","Diangostic",0.0135842790360801,"Total",0.0138534680587784,0.0133114957789149,10,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_2.5_Dosage_0","Cmax/IC50",0.434922550845194,"Total",0.443467462982397,0.426803085717928,10,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.5_Resistance_2.5_Dosage_0","Fitness",0.274216376372609,"First",0.265741858149109,0.251897229160448,500,2.5,0.5,0,"sesonality1",0.943294725119313
"Spread_sesonality1_EIR_500_Access_0.5_Resistance_2.5_Dosage_0","half-life",0.69516419179243,"First",0.659420991727963,0.652025501755069,500,2.5,0.5,0,"sesonality1",0.943294725119313
"Spread_sesonality1_EIR_500_Access_0.5_Resistance_2.5_Dosage_0","MKR",0.000586419989555569,"First",0.00898734529915874,-0.00769532096733244,500,2.5,0.5,0,"sesonality1",0.943294725119313
"Spread_sesonality1_EIR_500_Access_0.5_Resistance_2.5_Dosage_0","Diangostic",0,"First",0.00688406423071551,-0.00972248693496753,500,2.5,0.5,0,"sesonality1",0.943294725119313
"Spread_sesonality1_EIR_500_Access_0.5_Resistance_2.5_Dosage_0","Cmax/IC50",0.0300330118454054,"First",0.0371792367926281,0.0196816119283777,500,2.5,0.5,0,"sesonality1",0.943294725119313
"Spread_sesonality1_EIR_500_Access_0.5_Resistance_2.5_Dosage_0","Fitness",0.263824156255832,"Total",0.266448775124314,0.261034729555603,500,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.5_Resistance_2.5_Dosage_0","half-life",0.705028982268381,"Total",0.71180287374242,0.698411969570632,500,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.5_Resistance_2.5_Dosage_0","MKR",0.0114543407164139,"Total",0.0117371838633907,0.0111747235466785,500,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.5_Resistance_2.5_Dosage_0","Diangostic",0.00788145992372646,"Total",0.00802311591625843,0.00773822590227,500,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_500_Access_0.5_Resistance_2.5_Dosage_0","Cmax/IC50",0.0729300826135192,"Total",0.0744196360551383,0.0715164425352634,500,2.5,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_10_Dosage_0","Fitness",0.0753410136366734,"First",0.0810182439279504,0.0647942710598138,5,10,0.5,0,"sesonality1",0.968109252277609
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_10_Dosage_0","half-life",0.183962613068911,"First",0.18603685750601,0.170587218846858,5,10,0.5,0,"sesonality1",0.968109252277609
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_10_Dosage_0","MKR",0.00253980505583027,"First",0.0104322306709584,-0.0057309810252438,5,10,0.5,0,"sesonality1",0.968109252277609
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_10_Dosage_0","Diangostic",0.00112664987272609,"First",0.00902801179539466,-0.00708286256299679,5,10,0.5,0,"sesonality1",0.968109252277609
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_10_Dosage_0","Cmax/IC50",0.737029918365859,"First",0.716647688005497,0.710214149335595,5,10,0.5,0,"sesonality1",0.968109252277609
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_10_Dosage_0","Fitness",0.0749054336061623,"Total",0.0757791083516086,0.0740443852019603,5,10,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_10_Dosage_0","half-life",0.207034642329501,"Total",0.209640907966232,0.204473945172829,5,10,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_10_Dosage_0","MKR",0.0075543989985851,"Total",0.00766451977140385,0.00743822234548647,5,10,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_10_Dosage_0","Diangostic",0.00488125177218679,"Total",0.00495707962631324,0.00480634496214672,5,10,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_5_Access_0.5_Resistance_10_Dosage_0","Cmax/IC50",0.743215651178319,"Total",0.750347849713049,0.73601308440093,5,10,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_10_Dosage_0","Fitness",0.112413239066186,"First",0.115693483367113,0.100203812972865,10,10,0.5,0,"sesonality1",0.960974852236006
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_10_Dosage_0","half-life",0.392995338150065,"First",0.38385973831447,0.371519924976287,10,10,0.5,0,"sesonality1",0.960974852236006
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_10_Dosage_0","MKR",0,"First",0.00719189149108954,-0.00939462216508928,10,10,0.5,0,"sesonality1",0.960974852236006
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_10_Dosage_0","Diangostic",0,"First",0.00497099361344619,-0.0116256394485922,10,10,0.5,0,"sesonality1",0.960974852236006
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_10_Dosage_0","Cmax/IC50",0.494591422783749,"First",0.481093800178598,0.470025892985173,10,10,0.5,0,"sesonality1",0.960974852236006
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_10_Dosage_0","Fitness",0.112933269227656,"Total",0.114128491451555,0.111688264137369,10,10,0.5,0,"sesonality1",0
"Spread_sesonality1_EIR_10_Access_0.5_Resistance_10_Dosage_0","half-life",0.405625906784165,"Total",0.409938545471198,0.400956642048265,10,10,0.5,0,"sesonality1",0
