"L","M","U","x","G","EIR","Resistance_level","Access","Dosage","Seasonality","drug"
-0.0288219792054592,-0.0105328739553474,0.00837646760057025,26,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0294109328862334,-0.0106214838513763,0.00744149996428266,27,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0283596086299537,-0.0099314846850225,0.00867033055352921,28,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0293427600750683,-0.0113549327086232,0.00803362545364127,29,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0285169401128472,-0.0108316739308674,0.00778683928752259,30,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0285694639856721,-0.0100911948646435,0.00772297899810087,31,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0286062671696137,-0.0110291168111344,0.00737322679387004,32,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0293506547209683,-0.01186293514926,0.00753329018201806,33,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.028193971998329,-0.0106550459271057,0.00837341735530817,34,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0281274878549199,-0.0107263419191686,0.00711089240486917,35,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0287750010192926,-0.0114020061797242,0.00712148807666166,36,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0281744516146856,-0.0103958663864207,0.00688809604065245,37,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0289872517002702,-0.0114483642011841,0.00724300923280408,38,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0277818329766484,-0.0101317318330335,0.00846810589384624,39,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
NA,NA,NA,40,"half_life_long",5,7,0.04,0,"sesonality1","A+B"
-0.0263273793935064,-0.00880664068752339,0.00929942223310506,1,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0283328584934854,-0.00978080703997842,0.00879113778491363,2,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0281176993524274,-0.00961546931095145,0.0092476393545296,3,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0276947785896559,-0.00957231039098754,0.00941927759202355,4,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0281068884294774,-0.00913955881860678,0.00881104625382224,5,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0284633367833418,-0.0104824755954089,0.00905153248130762,6,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0280695449729063,-0.00970191571916516,0.00920494219512908,7,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.027937343341657,-0.00942908477739601,0.00943372949310776,8,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0288215181963349,-0.010528026452315,0.00815941548728431,9,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.029401407098509,-0.0107647916033014,0.00816444163093414,10,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0286314715446014,-0.0105899968515087,0.00753278389524909,11,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0288917987387815,-0.0109319062764533,0.00818130904393281,12,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0300999467400311,-0.0109987853842689,0.00875435039666708,13,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0290324348998698,-0.0100520165426745,0.00874460254627304,14,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0291510644198921,-0.0104111510311629,0.00891956197038752,15,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0286222525728845,-0.00973402711945663,0.00917762623443142,16,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.029409630623361,-0.0107490724065265,0.00845181890082224,17,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0287372510111513,-0.0110203806381949,0.00797498466278421,18,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0294118154840708,-0.0107176722472042,0.0087532045628671,19,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0288005085551515,-0.0101001607772055,0.00858827485711972,20,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0286254949306531,-0.0108134309476737,0.00934689775858019,21,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0288238505624346,-0.00988679243698043,0.00879566259966617,22,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0291345242468598,-0.0104663590150975,0.0090843993640293,23,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
-0.0283770418201056,-0.0104903795193059,0.00902695063598866,24,"MKR_long",5,7,0.04,0,"sesonality1","A+B"
