"Survey","nHost","nInfect","nExpectd","nPatent","nTransmit","nTreatments1","nUncomp","innoculationsPerAgeGroup","innoculationsPerAgeGroup_2","Vector_Nv","Vector_Nv_2","inputEIR","simulatedEIR","nMDAs","nMassScreenings","nTreatDiagnostics","nInfectByGenotype","nInfectByGenotype_2","nPatentByGenotype","nPatentByGenotype_2","nHostDrugConcNonZero","nHostDrugConcNonZero_2","nHostDrugConcNonZero_3","nHostDrugConcNonZero_4","sumLogDrugConcNonZero","sumLogDrugConcNonZero_2","Inoculation_S","Inoculation_R","Infection_S","Infection_R","Patent_S","Patent_R"
81,1e+05,70866,98828.9,32965,0.0196373,8102,10445,1276680,67800.5,4129320,23575500,7.31297,2.97004,0,0,8230,69525,8071,23782,1703,0,22220,0,0,-78749.3,0,0.949571228441022,0.0504287715589776,0.895986906541574,0.104013093458426,0.933176378261723,0.0668236217382774
82,1e+05,71119,98831.2,33046,0.0198324,8147,10535,1292280,68762.8,4129320,23575500,7.31297,3.0066,0,0,8275,69761,8119,23905,1715,0,22285,0,0,-79180.8,0,0.949477856243757,0.0505221437562434,0.895749871597329,0.104250128402671,0.933060109289617,0.0669398907103825
83,1e+05,70949,98834.2,33000,0.0197279,8261,10591,1309780,68995.1,4129320,23575500,7.31297,3.04581,0,0,8389,69583,8033,23801,1646,0,22286,0,0,-78684.9,0,0.949959134016853,0.0500408659831469,0.896503298289013,0.103496701710987,0.935316540260149,0.0646834597398515
84,1e+05,71161,98834.6,33120,0.0198393,8238,10551,1304450,71704.3,4129320,23575500,7.31297,3.04001,0,0,8353,69706,8210,23763,1738,0,22436,0,0,-79362.1,0,0.947895159721552,0.0521048402784484,0.894630114482263,0.105369885517737,0.931845809968237,0.0681541900317635
85,1e+05,71217,98835.2,33395,0.0194792,8135,10516,1309240,70889.3,4129320,23575500,7.31297,3.0488,0,0,8241,69800,8307,23853,1760,0,22379,0,0,-79378.2,0,0.948635754635453,0.0513642453645466,0.893645896014442,0.106354103985558,0.931284894389568,0.0687151056104322
86,1e+05,71211,98833.9,33325,0.0198985,8195,10676,1295570,72062.4,4129320,23575500,7.31297,3.02116,0,0,8306,69754,8426,23869,1786,0,22390,0,0,-79327.4,0,0.947308648142586,0.0526913518574143,0.892223074955232,0.107776925044768,0.93038394075229,0.06961605924771
87,1e+05,71321,98836.6,33378,0.0201844,8362,10728,1315590,72715.6,4129320,23575500,7.31297,3.06685,0,0,8477,69817,8490,23901,1784,0,22430,0,0,-79029.6,0,0.947622771239992,0.0523772287600079,0.891580573895054,0.108419426104946,0.930543118551684,0.0694568814483161
88,1e+05,71509,98837.6,33506,0.0198275,8197,10546,1320750,73583.1,4129320,23575500,7.31297,3.08017,0,0,8307,69981,8617,24253,1832,0,22518,0,0,-79778.8,0,0.947227029179756,0.0527729708202437,0.890366167078043,0.109633832921957,0.929768065938279,0.0702319340617213
89,1e+05,71327,98837,33507,0.0201795,8327,10746,1311630,74987.6,4129320,23575500,7.31297,3.06311,0,0,8460,69807,8645,24107,1811,0,22624,0,0,-80036.9,0,0.945920490263502,0.0540795097364984,0.889805231224188,0.110194768775812,0.930125781310286,0.0698742186897137
90,1e+05,71277,98838.8,33429,0.0196401,8121,10547,1323340,76505.4,4129320,23575500,7.31297,3.09234,0,0,8238,69770,8755,24075,1808,0,22418,0,0,-79376.7,0,0.945347250489233,0.0546527495107674,0.888506844953836,0.111493155046164,0.930147200865433,0.0698527991345671
91,1e+05,71327,98837.7,33600,0.0199644,8339,10654,1310960,76340.3,4129320,23575500,7.31297,3.06464,0,0,8467,69798,8820,24029,1854,0,22574,0,0,-80036.7,0,0.944972043904265,0.055027956095735,0.887811951461497,0.112188048538503,0.928369972568868,0.0716300274311324
92,1e+05,71504,98837.5,33555,0.0195937,8201,10562,1318590,73105.6,4129320,23575500,7.31297,3.07438,0,0,8315,69997,8818,24002,1947,0,22567,0,0,-79937.2,0,0.947470122058301,0.0525298779416993,0.888117744084248,0.111882255915752,0.924968206867317,0.0750317931326833
93,1e+05,71346,98836.8,33261,0.0200703,8309,10768,1305890,75959.1,4129320,23575500,7.31297,3.05261,0,0,8435,69805,8912,24112,1847,0,22583,0,0,-79960.8,0,0.94503082861942,0.0549691713805798,0.88678430326359,0.11321569673641,0.92884933934281,0.0711506606571902
94,1e+05,71177,98839.7,33241,0.0203765,8391,10748,1331490,73924.8,4129320,23575500,7.31297,3.10466,0,0,8492,69659,8851,23982,1950,0,22708,0,0,-80181.4,0,0.947400013149143,0.0525999868508571,0.887262769074003,0.112737230925997,0.924803331790838,0.0751966682091624
95,1e+05,71290,98841.1,33566,0.0202461,8396,10768,1332890,79118.9,4129320,23575500,7.31297,3.11921,0,0,8508,69765,8832,24157,1911,0,22786,0,0,-80542.8,0,0.943967137884188,0.0560328621158124,0.8876292988282,0.1123707011718,0.926691729323308,0.0733082706766917
96,1e+05,71524,98840.6,33850,0.0199723,8196,10643,1326170,78914.4,4129320,23575500,7.31297,3.10391,0,0,8320,70061,9027,24267,1953,0,22730,0,0,-80762.6,0,0.943836541064722,0.0561634589352782,0.885861319037022,0.114138680962978,0.925514874141876,0.0744851258581236
97,1e+05,71605,98839.6,33751,0.0202465,8319,10707,1321820,75578.9,4129320,23575500,7.31297,3.08696,0,0,8433,70116,9072,24211,1960,0,22778,0,0,-80669.5,0,0.945914584589984,0.0540854154100164,0.885437187452644,0.114562812547356,0.925107943907378,0.0748920560926216
98,1e+05,71660,98841.2,33685,0.0203904,8332,10843,1332490,78939.1,4129320,23575500,7.31297,3.11791,0,0,8458,70157,9087,24275,1988,0,22685,0,0,-80017.9,0,0.944071508799131,0.0559284912008687,0.885328857705315,0.114671142294685,0.924304154133191,0.0756958458668088
99,1e+05,71635,98842.6,33720,0.0202806,8344,10719,1336960,80079.6,4129320,23575500,7.31297,3.13031,0,0,8448,70092,9326,24278,1926,0,22743,0,0,-80463.2,0,0.943488100120843,0.0565118998791565,0.882570701856002,0.117429298143998,0.926499771027324,0.0735002289726759
100,1e+05,71659,98842.7,33702,0.0203378,8266,10846,1333370,82694.3,4129320,23575500,7.31297,3.12816,0,0,8370,70112,9398,24310,2120,0,22784,0,0,-80714.5,0,0.941602722418749,0.0583972775812511,0.881801031316816,0.118198968683185,0.919788119561105,0.0802118804388952
