"L","M","U","x","G","EIR","Resistance_level","Access","Dosage","Seasonality"
-0.0369236035654827,0.0123649278980637,0.0905722519659737,4,"half_life_short",1,1,1,1,"sesonality1"
-0.0387671324993264,0.00986188707889811,0.0908801268998704,5,"half_life_short",1,1,1,1,"sesonality1"
-0.036392100126985,0.0126090908024292,0.0901607635348811,6,"half_life_short",1,1,1,1,"sesonality1"
-0.0381331713702307,0.00918811349127741,0.0839223130086166,7,"half_life_short",1,1,1,1,"sesonality1"
-0.0406950034486953,0.00764815385311904,0.0829140060747554,8,"half_life_short",1,1,1,1,"sesonality1"
-0.0383656258749503,0.00839560079778645,0.0851873848225143,9,"half_life_short",1,1,1,1,"sesonality1"
-0.0400322133030917,0.00639380082185967,0.081637798202728,10,"half_life_short",1,1,1,1,"sesonality1"
-0.0408437355263173,0.00550788278035669,0.0814111209969621,11,"half_life_short",1,1,1,1,"sesonality1"
-0.0409203020545382,0.00500592809205016,0.0780858196062145,12,"half_life_short",1,1,1,1,"sesonality1"
-0.0414488342063229,0.00416211277914872,0.0775657592608883,13,"half_life_short",1,1,1,1,"sesonality1"
-0.0421564364515336,0.00321595990398894,0.0763680838080718,14,"half_life_short",1,1,1,1,"sesonality1"
-0.0428929928498847,0.00128809434151385,0.0732467274764158,15,"half_life_short",1,1,1,1,"sesonality1"
-0.0432927519750067,0.000262444521740826,0.0722144475361742,16,"half_life_short",1,1,1,1,"sesonality1"
-0.0453118684195444,-0.000692459551008718,0.0724459198778875,17,"half_life_short",1,1,1,1,"sesonality1"
-0.0438439290757567,-0.00144916634398744,0.0711562965627826,18,"half_life_short",1,1,1,1,"sesonality1"
-0.0451301719233825,-0.00160237054366267,0.067934942054809,19,"half_life_short",1,1,1,1,"sesonality1"
-0.0461147991180807,-0.00247625451972677,0.0669761261119565,20,"half_life_short",1,1,1,1,"sesonality1"
-0.0458599028608922,-0.0024370368894789,0.0681199022933292,21,"half_life_short",1,1,1,1,"sesonality1"
-0.0474647964695915,-0.00491838690232625,0.0644726169183734,22,"half_life_short",1,1,1,1,"sesonality1"
-0.0473248390405527,-0.00461244619447693,0.0633968636056092,23,"half_life_short",1,1,1,1,"sesonality1"
-0.0473963279338278,-0.00540564503397139,0.0604001818972825,24,"half_life_short",1,1,1,1,"sesonality1"
-0.0472391565695758,-0.00376571583374107,0.0612601900697398,25,"half_life_short",1,1,1,1,"sesonality1"
-0.0481018758704084,-0.00644537267914348,0.0596104115610883,26,"half_life_short",1,1,1,1,"sesonality1"
-0.0492684056186901,-0.00737358363173525,0.0580627567674651,27,"half_life_short",1,1,1,1,"sesonality1"
-0.0477812720671411,-0.00625213237085317,0.0608345932158158,28,"half_life_short",1,1,1,1,"sesonality1"
-0.0474826070224861,-0.0069239006658743,0.0608457206803871,29,"half_life_short",1,1,1,1,"sesonality1"
-0.0493226719054046,-0.00823389667850203,0.0558958643393094,30,"half_life_short",1,1,1,1,"sesonality1"
-0.0501568081118899,-0.00931181142305619,0.0540861279844743,31,"half_life_short",1,1,1,1,"sesonality1"
-0.0505429173899901,-0.00997785871410872,0.0528072955131453,32,"half_life_short",1,1,1,1,"sesonality1"
-0.050436199674401,-0.00971813125700227,0.0522970505781497,33,"half_life_short",1,1,1,1,"sesonality1"
-0.0504233046477594,-0.0109198918528311,0.0506595703049339,34,"half_life_short",1,1,1,1,"sesonality1"
-0.0508891677163394,-0.0106694996061278,0.0499162595481877,35,"half_life_short",1,1,1,1,"sesonality1"
-0.049655999901056,-0.0109190938089728,0.0490376793555615,36,"half_life_short",1,1,1,1,"sesonality1"
-0.0483321089539022,-0.00844933275129923,0.0512541847772868,37,"half_life_short",1,1,1,1,"sesonality1"
-0.0487645194557459,-0.00968237202076172,0.0497807351637102,38,"half_life_short",1,1,1,1,"sesonality1"
-0.0498795796856559,-0.010683585805461,0.0449066488502239,39,"half_life_short",1,1,1,1,"sesonality1"
NA,NA,NA,40,"half_life_short",1,1,1,1,"sesonality1"
-0.0428526253215701,0.000325441626377434,0.0670527594083279,1,"MKR_short",1,1,1,1,"sesonality1"
-0.0440598000941321,-0.00130633474647674,0.0642765574589755,2,"MKR_short",1,1,1,1,"sesonality1"
-0.0424886498664861,6.26096082998729e-05,0.0675715598320119,3,"MKR_short",1,1,1,1,"sesonality1"
-0.0447282450578187,-0.000712516807484758,0.0685159482687765,4,"MKR_short",1,1,1,1,"sesonality1"
-0.0435263648307348,0.00157973566390702,0.0714993479963027,5,"MKR_short",1,1,1,1,"sesonality1"
-0.0439779126748827,-0.000151439324805884,0.0695858116304538,6,"MKR_short",1,1,1,1,"sesonality1"
-0.0441834346249444,0.000341727737379644,0.0711701034355183,7,"MKR_short",1,1,1,1,"sesonality1"
-0.0445411675784905,-6.6395703428139e-07,0.069743491242788,8,"MKR_short",1,1,1,1,"sesonality1"
-0.0430162777374346,0.00172656855413674,0.0714057428084364,9,"MKR_short",1,1,1,1,"sesonality1"
-0.0439182283258575,-0.00134372239623329,0.0677759654690486,10,"MKR_short",1,1,1,1,"sesonality1"
-0.0455230974261406,0.000158656125428001,0.0698080536429103,11,"MKR_short",1,1,1,1,"sesonality1"
-0.044206712850075,0.000595383017182105,0.0707714811271153,12,"MKR_short",1,1,1,1,"sesonality1"
-0.0454591376939757,-0.000555517479006287,0.0717857730156856,13,"MKR_short",1,1,1,1,"sesonality1"
-0.0434016897526832,0.000975276077950731,0.070807574550748,14,"MKR_short",1,1,1,1,"sesonality1"
-0.0442935994974182,-0.000483315967461037,0.0684896854948844,15,"MKR_short",1,1,1,1,"sesonality1"
-0.0460444455221578,-0.00129128573291093,0.0693793404420865,16,"MKR_short",1,1,1,1,"sesonality1"
-0.0460701186724373,-0.00190180784407543,0.0690155289713056,17,"MKR_short",1,1,1,1,"sesonality1"
-0.0447528599518745,-0.00109003287619069,0.0707857448279,18,"MKR_short",1,1,1,1,"sesonality1"
-0.0458123748745671,-0.00134370230522371,0.0692416355321357,19,"MKR_short",1,1,1,1,"sesonality1"
-0.0454219836786974,-0.00140895171801461,0.0705801594784449,20,"MKR_short",1,1,1,1,"sesonality1"
-0.0446215376642263,-0.000806898967512941,0.0700189255506096,21,"MKR_short",1,1,1,1,"sesonality1"
-0.0446505093336529,-0.00144206132258838,0.0716288436548607,22,"MKR_short",1,1,1,1,"sesonality1"
-0.0456765740009358,-0.00178104377423325,0.0698404968421663,23,"MKR_short",1,1,1,1,"sesonality1"
-0.0462488170287185,-0.0024282092785681,0.0686004937755043,24,"MKR_short",1,1,1,1,"sesonality1"
-0.0456007061597661,-0.00149378123465177,0.0704079622154075,25,"MKR_short",1,1,1,1,"sesonality1"
-0.0458254874426193,-0.00282312721597841,0.0680090440615468,26,"MKR_short",1,1,1,1,"sesonality1"
-0.0441080567332525,-0.00207028576618384,0.07314081722372,27,"MKR_short",1,1,1,1,"sesonality1"
-0.0459858364277299,-0.00291810218373167,0.0667196419279832,28,"MKR_short",1,1,1,1,"sesonality1"
